tracking_id,event_time
0223ce54dafeaad61826f2921ccd2eee871c675a,1499331872
3dd0ceda5c12278982ca2f872fc71c8685636c17,1499336001
00ee4b006ece5de5d847300ef9924fc5b13bb66d,1499379263
7ec773ef9deb8b9a78b7006ea86a9277d6b907a9,1499557396
f66ffedc05331580619cb2e349e3e85c80baf4c6,1499565840
51d8cbc2962636db6e30d4a7769e5124d1b92f1d,1499322915
a69c91965527be2aef1892cba58d584ec2eb4de1,1499321891
b79897ac1d45850ced49e2e389626b2ad07caa1e,1499578679
d65e083f08870dc5debebfb5c4e704ce132f2dbb,1499579053
4b46aa0b07aa1d14d273efe2919305c9bcd11fb1,1499584376
04cba56012947d1e83e7bebe6ca60a19d7434d7e,1499319727
574e643228a4d0a7412720b1d30ff6932175d06a,1499328525
a25185c6c5eba7a49e6de6cdd6c75c8c424c2870,1499324508
b5f74e29c36fcbb2e89239f2c7a9d836d8929567,1499492196
c8fd58940d2c448add0afc33aeb5bff632e2a101,1499328027
d8f0afac357dcff196deebdb3b3822bf742722f6,1499494647
dc94ced7a43952f9b0a4ddbf2324d988a49fa6e9,1499328084
7eff8e9ac3a2729934d889b3a07db8a2f28c4282,1499557536
f3f7d539a10b356fe033170440629a7f0f816f35,1499328184
c80dd34abaad533e2c02148195ce19b2449e1dab,1499491804
ba890523fadcee0a469a6dcb2c298a499a8b5f30,1499651762
390192395dac29ae971419fd534a2a376077a73d,1499338120
721f0542b79af46454ff1584f271a8d6f729717d,1499351743
e656e6150217b312ac61407d941b219065330db3,1499579090
1461ed40373feafdf36d9b54f6fc2648715ffce2,1499331617
2ea6cf41954d5292448056493d918ca3096296f1,1499318146
b6676537aa4ad6b8fa3ca164db86ccf270730751,1499336396
da1be48bb2b3f11727b8e6dd08876ed803d33144,1499343929
9368676027483a913a141ec63571a062632fc346,1499570114
f5fcdbe17f5760405849f2ac7c4f9df6c9aff44e,1499322034
caa5f922da16095ff019c73f71ab129db4f347f3,1499322932
d04d170db186b7d4fc95e0a18ce45595ee4ec9ba,1499492897
3435ce3ba77e52df8dd455f1f4dfbde64268c10f,1499494460
494b38ec228634197d93b8f2868452198b087bbb,1499331717
159a4a9f0cfff63ffb7dcc78ab970f0e7959ae24,1499340890
4323b63b4f00136b9fe14e3f7b6e32df09301583,1499492451
418c63ad5800e0c2220da0f73678cae30ae5edaf,1499584907
454df45408d04105583d72439caa3a1ffd8f9152,1499585102
93315b338bd41d61b9340358803e7db2c076c00a,1499650890
895cee45e1051a1312e373a2a51030a6af783aaf,1499479972
2ff5126c39e556310f690699e2c79f8a515e6aff,1499479998
f268b3909ea160fd08c8222416a29072c76a9f57,1499566428
73b170db71b0bbb6b237ef10b2b5cf0ac5ddda7f,1499581722
